/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
0 8960	3638025151 0        move to lambda
1 8975	3244015301 1        draw to kappa
1 8964	3243014121 1        draw to iota
1 8761	3224034341 1        draw to omicron
0 214	1739023171 0        move to zeta
1 162	1744029361 1        draw to epsilon
1 164	2275017531 1        draw to delta
1 153	2279016651 1        draw to pi
1 67	2273020811 1        draw to sigma
1 62	2782022511 1        draw to theta
1 8975	3244015301 1        draw to kappa
0 336	2286013291 0        move to beta
1 268	2798016671 1        draw to mu
1 225	2801020901 1        draw to nu
1 334	3268013581 1        draw to phi
0 336	2286013291 0        move to beta
1 153	2279016651 1        draw to pi
0 14	1735031801 0        move to alpha
1 164	2275017531 1        draw to delta
1 336	2286013291 1        draw to beta
1 457	2822022101 1        draw to upsilon
1 602	2837023111 1        draw to gamma 1
0 602	2837023111 0        move to gamma 1
0 6162	9447031541 0        move to beta
1 6101	9450022821 1        draw to gamma
1 5469	9436023931 1        draw to alpha
0 7949	5760019971 0        move to epsilon
1 8092	5779018031 1        draw to nu
1 8231	5216017251 1        draw to beta
0 8417	5808016831 0        move to iota
1 8231	5216017251 1        draw to beta
1 8413	5224018061 1        draw to alpha
1 8538	0560018181 1        draw to pi
1 8557	5226016051 1        draw to zeta
1 8596	5233022981 1        draw to eta
0 8557	5226016051 0        move to zeta
1 8517	5226016061 1        draw to gamma
1 8413	5224018061 1        draw to alpha
1 8498	5803019961 1        draw to theta
1 8697	5813014061 1        draw to lambda
1 8672	5819012471 1        draw to tau
1 8708	6387013821 1        draw to delta
1 8840	5821014801 1        draw to psi 1
1 8697	5813014061 1        draw to lambda
1 8833	5249014001 1        draw to phi
1 8840	5821014801 1        draw to psi 1
//1 6401013551	6401013551 1        draw to 88
0 8840	5821014801 0        move to psi 1
//1 6402012211	6402012211 1        draw to 98
0 7709	5161026821 0        move to theta
1 7569	0480030271 1        draw to eta
1 7376	0469062271 1        draw to delta
1 7234	1052030271 1        draw to zeta
1 7175	1585025311 1        draw to epsilon
0 7601	0493033551 0        move to beta
1 7556	1058033991 1        draw to alpha
1 7524	1061025771 1        draw to gamma
1 7376	0469062271 1        draw to delta
1 7235	5136023571 1        draw to lambda
//1 5140047811	5140047811 1        draw to 12
0 6509	8350026001 0        move to alpha
1 6460	8732028661 1        draw to beta
1 6461	8736038571 1        draw to gamma
1 6499	9053041181 1        draw to delta
1 6228	8725030671 1        draw to eta
1 6284	8730014391 1        draw to zeta
1 6294	8726022081 1        draw to epsilon 1
1 6509	8350026001 1        draw to alpha
//0 1789014901	1789014901 0        move to 41
1 616	1758024161 1        draw to alpha
1 552	1212019351 1        draw to beta
1 544	1209018351 1        draw to gamma
1 616	1758024161 1        draw to alpha
0 2087	2924027421 0        move to beta
1 2076	3750010421 1        draw to delta
1 1707	3358031411 1        draw to alpha
1 1604	2907012751 1        draw to epsilon
1 1611	2899022361 1        draw to zeta
1 1640	2899022371 1        draw to eta
1 1707	3358031411 1        draw to alpha
1 2087	2924027421 1        draw to beta
1 2094	2418015731 1        draw to theta
1 1790	1859014701 1        draw to beta Tau
1 1576	2391014461 1        draw to iota
1 1640	2899022371 1        draw to eta
0 5350	3472012641 0        move to lambda
1 5327	3471012511 1        draw to kappa
1 5403	3478013321 1        draw to theta
1 5350	3472012641 1        draw to lambda
1 5434	3036011511 1        draw to gamma
1 5428	2553011401 1        draw to rho
1 5504	2019012511 1        draw to epsilon
1 5339	1472014361 1        draw to alpha
1 5234	1470011571 1        draw to eta
1 5199	1460011801 1        draw to upsilon
1 5184	1460001321 1        draw to tau
0 5339	1472014361 0        move to alpha
1 5476	0917014711 1        draw to zeta
1 5504	2019012511 1        draw to epsilon
