; Original constellation figure definitions for SkyMap Pro.
; Copyright Y C.A.Marriott 1998.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a PPM catalog number if it refers to a star.
; Commands are:
;   0   Move to "data"
;   1   Draw a solid line from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   (not used)
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

044721 0        move to gamma 1
044216 1        draw to upsilon
066010 1        draw to beta
065785 1        draw to mu
043365 1        draw to nu
043693 1        draw to phi
044238 1        draw to 51
066010 0        move to beta
065514 1        draw to delta
089441 1        draw to alpha
090149 0        move to zeta
090002 1        draw to epsilon
065514 1        draw to delta
065480 1        draw to pi
065154 1        draw to theta
064473 1        draw to iota
064525 1        draw to kappa
064456 1        draw to lambda
064473 0        move to iota
063726 1        draw to omicron
066010 0        move to beta
065480 1        draw to pi
000000 2        end

; Antlia

288317 0        move to iota
287713 1        draw to alpha
256646 1        draw to theta
286515 1        draw to epsilon
000000 2        end

; Apus

373182 0        move to beta
373122 1        draw to gamma
373033 1        draw to delta 1
372410 1        draw to alpha
000000 2        end

; Aquarius

204453 0        move to epsilon
204557 1        draw to mu
238460 1        draw to nu
205297 1        draw to beta
239801 1        draw to iota
205297 0        move to beta
181401 1        draw to alpha
181446 1        draw to gamma
181490 1        draw to eta
173030 1        draw to pi
181401 1        draw to alpha
206179 1        draw to theta
206868 1        draw to lambda
207311 1        draw to phi
207344 1        draw to psi 1
206868 1        draw to lambda
240808 1        draw to tau
240921 1        draw to delta
207344 1        draw to psi 1
274643 1        draw to 88
274652 1        draw to 89
274599 1        draw to 86
275084 0        move to 101
274952 1        draw to 99
274885 1        draw to 98
207344 1        draw to psi 1
000000 2        end

; Aquila

168947 0        move to beta
168779 1        draw to alpha
136931 1        draw to gamma
168141 1        draw to mu
167816 1        draw to delta
202530 1        draw to lambda
202441 1        draw to 12
180896 0        move to theta
168843 1        draw to eta
167816 1        draw to delta
135773 1        draw to zeta
135586 1        draw to epsilon
000000 2        end

; Ara

362756 0        move to delta
345992 1        draw to gamma
345989 1        draw to beta
323069 1        draw to alpha
345574 1        draw to epsilon 1
345563 1        draw to zeta
345419 1        draw to eta
345563 0        move to zeta
345992 1        draw to gamma
