; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

2837023111 0	move to gamma 1
2286013291 1	draw to beta
2275017531 1	draw to delta
1735031801 1	draw to alpha
2286013291 0	move to beta
2798016671 1	draw to mu
2801020901 1	draw to nu
0000000000 2	end

; Antlia

7211022951 0	move to iota
7184020651 1	draw to alpha
7166030381 1	draw to epsilon
0000000000 2	end

; Apus

9450022821 0	move to gamma
9446035171 1	draw to delta 1
9447031541 1	draw to beta
9450022821 1	draw to gamma
9436023931 1	draw to alpha
0000000000 2	end

; Aquarius

5836009791 0	move to omega 2
6402012211 1	draw to 98
6401013551 1	draw to 88
6387013821 1	draw to delta
5819012471 1	draw to tau
5813014061 1	draw to lambda
5803019961 1	draw to theta
5808016831 1	draw to iota
5803019961 0	move to theta
5226016061 1	draw to gamma
5226016051 1	draw to zeta
5233022981 1	draw to eta
0560018181 0	move to pi
5226016051 1	draw to zeta
5226016061 0	move to gamma
5224018061 1	draw to alpha
5216017251 1	draw to beta
5779018031 1	draw to nu
5760019971 1	draw to epsilon
0000000000 2	end

; Aquila

0493033551 0	move to beta
1058033991 1	draw to alpha
1061025771 1	draw to gamma
1058033991 0	move to alpha
0469062271 1	draw to delta
5136023571 1	draw to lambda
5161026821 0	move to theta
0480030271 1	draw to eta
0469062271 1	draw to delta
1052030271 1	draw to zeta
0000000000 2	end

; Ara

9053041181 0	move to delta
8736038571 1	draw to gamma
8732028661 1	draw to beta
8350026001 1	draw to alpha
8365016981 1	draw to theta
8732028661 0	move to beta
8730014391 1	draw to zeta
8725030671 1	draw to eta
8730014391 0	move to zeta
8726022081 1	draw to epsilon 1
0000000000 2	end

; Aries

1789014901 0	move to 41
1758024161 1	draw to alpha
1212019351 1	draw to beta
1209018351 1	draw to gamma
0000000000 2	end

; Auriga

2391014461 0	move to iota
2894030651 1	draw to omega (4)
2907012751 1	draw to epsilon
2899022371 1	draw to eta
2907012751 1	move to epsilon
3358031411 1	draw to alpha
2924027421 1	draw to beta
2418015731 1	draw to theta
1859014701 5	dotted to beta Tau
0000000000 2	end

; Bootes

1460011801 0	move to upsilon
1460001321 1	draw to tau
1470011571 1	draw to eta
1472014361 1	draw to alpha
2553011401 1	draw to rho
3036011511 1	draw to gamma
3047012581 1	draw to beta
2566016391 1	draw to delta
2019012511 1	draw to epsilon
1481007221 1	draw to xi
1477001891 1	draw to omicron
1477013361 1	draw to pi 1
0917014711 1	draw to zeta
0000000000 2	end

; Caelum

7585014801 0	move to delta
7589016931 1	draw to alpha
7045001301 1	draw to beta
7053020461 1	draw to gamma
0000000000 2	end

; Camelopardus

4633017851 0	move to 4633-1785-1
4530020101 1	draw to 4530-2010-1
4345020511 1	draw to 4345-2051-1
4091020941 1	draw to alpha
4079024781 1	draw to beta
3734023201 1	draw to 7
4345020511 0	move to 4345-2051-1
4335021061 1	draw to gamma
4071018941 1	draw to BE
3715012481 1	draw to 3715-1248-1
0000000000 2	end

; Cancer

0814030291 0	move to alpha
1396027581 1	draw to delta
1399029051 1	draw to gamma
1949020101 1	draw to iota
1396027581 0	move to delta
0794016221 1	draw to beta
0000000000 2	end

; Canes Venatici

3021026461 0	move to alpha 1
3020025411 1	draw to beta
0000000000 2	end

; Canis Major

5963019381 0	move to gamma
5949027771 1	draw to alpha
5938029181 1	draw to beta
5949027771 0	move to alpha
5958032921 1	draw to 15
6523037221 1	draw to omicron 2
6532050011 1	draw to delta
6550045251 1	draw to eta
6532050011 0	move to delta
6531037931 1	draw to sigma
6535036191 1	draw to epsilon
7073024261 1	draw to zeta
0000000000 2	end

; Canis Minor

0187021841 0	move to alpha
0764027741 1	draw to beta
0000000000 2	end

; Capricornus

5748025981 0	move to alpha 1
5753022811 1	draw to beta
6333021281 1	draw to rho
6350014991 1	draw to theta
6360012201 1	draw to iota
6350014991 0	move to theta
6354014921 1	draw to eta
6925015761 1	draw to psi
6930009871 0	move to omega
6354014921 1	draw to eta
6928003351 1	draw to 24
6372012781 1	draw to zeta
6373012031 1	draw to 36
6370011761 1	draw to epsilon
6363010441 1	draw to delta
0000000000 2	end

; Carina

8534022771 0	move to alpha
8535021261 1	draw to N
8536007941 1	draw to A
8553028831 1	draw to chi
8579026921 1	draw to epsilon
8595033121 1	draw to iota
8943034471 1	draw to q
8956043241 1	draw to p
8965017651 1	draw to theta
9214028421 1	draw to omega
9200026031 1	draw to beta
8950022721 1	draw to upsilon
8595033121 1	draw to iota
0000000000 2	end

; Cassiopeia

4036028341 0	move to epsilon
4031032891 1	draw to delta
4017023191 1	draw to gamma
3663026681 1	draw to alpha
3664019851 1	draw to beta
0000000000 2	end

; Centaurus

8976053831 0	move to lambda
8629017121 1	draw to omicron 1
8621020021 1	draw to pi
8241032351 1	draw to delta
8240027241 1	draw to gamma
7275020741 1	draw to iota
7293022151 1	draw to theta
7814037061 1	draw to eta
8267035451 1	draw to zeta
8663029291 1	draw to epsilon
8240027241 1	draw to gamma
8663029291 0	move to epsilon
9005039191 1	move to beta
9007058491 1	draw to alpha
0000000000 2	end

; Cepheus

4237021681 0	move to theta
4246019671 1	draw to eta
4252018701 1	draw to alpha
4465026431 1	draw to beta
4606035841 1	draw to gamma
4277011021 1	draw to iota
3981015901 1	draw to zeta
4252018701 1	draw to alpha
4465026431 0	move to beta
4277011021 1	draw to iota
0000000000 2	end

; Cetus

0050017211 0	move to gamma
0058016181 1	draw to alpha
0641009851 1	draw to lambda
0643009371 1	draw to mu
0632014911 1	draw to xi 2
0052016811 1	draw to nu
0050017211 1	draw to gamma
0046016331 1	draw to delta
4693011441 1	draw to omicron
5278024371 1	draw to zeta
5274019841 1	draw to theta
5273026571 1	draw to eta
5847023331 1	draw to beta
5261010841 1	draw to iota
5273026571 1	draw to eta
5278024371 0	move to zeta
5855022921 1	draw to tau
5858020531 1	draw to upsilon
0000000000 2	end

; Chamaeleon

9398027141 0	move to alpha
9401017141 1	draw to gamma
9420015431 1	draw to beta
9418026531 1	draw to delta 2
9398027151 1	draw to theta
9398027141 1	draw to alpha
0000000000 2	end

; Circinus

8707019901 0	move to gamma
9015014451 1	draw to alpha
8706010611 1	draw to beta
0000000000 2	end

; Columba

7063011791 0	move to epsilon
7064013571 1	draw to alpha
7069014821 1	draw to beta
7066020241 1	draw to gamma
7077020601 1	draw to delta
7069014821 0	move to beta
7606009891 1	draw to eta
0000000000 2	end

; Coma Berenices

1454011341 0	move to alpha
1996024001 1	draw to beta
1991018951 1	draw to gamma
0000000000 2	end

; Corona Australis

7421022961 0	move to epsilon
7422017371 1	draw to gamma
7917026531 1	draw to alpha
7918015241 1	draw to beta
7921028561 1	draw to delta
7925027951 1	draw to zeta
7927019501 1	draw to eta 2
7910015701 1	draw to theta
7906015571 1	draw to 7906-1557-1
7915016731 1	draw to lambda
0000000000 2	end

; Corona Borealis

2564016291 0	move to theta
2032016051 1	draw to beta
2029016901 1	draw to alpha
2036016741 1	draw to gamma
2037018271 1	draw to delta
2037018261 1	draw to epsilon
2041018051 1	draw to iota
